step_index,simulation_time_s,emitter_enabled,solver_gpu_ms,diagnostics_gpu_ms,source_gpu_ms,velocity_advection_gpu_ms,buoyancy_gpu_ms,divergence_gpu_ms,pressure_clear_gpu_ms,pressure_solve_gpu_ms,pressure_gradient_gpu_ms,scalar_advection_gpu_ms,pressure_fraction,pressure_iteration_us,pressure_iterations,rms_divergence_before,max_abs_divergence_before,rms_divergence_after,max_abs_divergence_after,divergence_remaining_fraction,kinetic_energy,velocity_rms,velocity_max,nonfinite_divergence_before,nonfinite_divergence_after,nonfinite_velocity,density_min,density_max,density_sum,density_integral,density_centre_x,density_centre_y,density_centre_z,nonfinite_density_cells
1,0.016666666666666666,1,0.093855999999999995,0.12246399999999999,0.001408,0.003712,0.001408,0.002464,0.0020479999999999999,0.075327999999999992,0.002496,0.0049919999999999999,0.80259120354585745,1.8831999999999998,40,0.00015625002644810369,0.020000003278255463,1.484763771158628e-06,1.8566337530501187e-05,0.0095024865269496255,7.21760845534547e-12,3.7993705940182962e-06,0.00049479445442557335,0,0,0,0,0.49916735291481018,0.49916735291481018,1.5233378690027166e-05,0.015625,-0.234375,0.015625,0
2,0.033333333333333333,1,0.100672,0.12246399999999999,0.0020479999999999999,0.0041599999999999996,0.001536,0.0023999999999999998,0.001536,0.081759999999999999,0.0023040000000000001,0.0049280000000000001,0.81214240305149399,2.044,40,0.00031093611757512996,0.039799369871616364,3.5451352555179656e-06,4.1396939195692539e-05,0.011401490708654559,6.4488185624878014e-11,1.1356776446234909e-05,0.0014785805251449347,0,0,0,0,0.99750345945358276,0.99750345945358276,3.0441389753832482e-05,0.015625,-0.234375,0.015625,0
3,0.050000000000000003,1,0.094528000000000001,0.12246399999999999,0.0020479999999999999,0.0038399999999999997,0.0015039999999999999,0.0024319999999999997,0.0019840000000000001,0.075296000000000002,0.002496,0.0049280000000000001,0.79654705484089372,1.8824000000000001,40,0.00046401407057756078,0.059392087161540985,5.937385278011331e-06,6.5986299887299538e-05,0.012795700937734574,2.5611079923493207e-10,2.2632313148899829e-05,0.002946050837635994,0,0,0,0,1.4950097799301147,1.4950097799301147,4.5624077756656334e-05,0.015625,-0.234375,0.015625,0
4,0.066666666666666666,1,0.096607999999999999,0.12259199999999999,0.0020799999999999998,0.0044799999999999996,0.001472,0.0023999999999999998,0.003424,0.075359999999999996,0.002496,0.0048960000000000002,0.78005962239152038,1.8839999999999999,40,0.00061548768646037331,0.078778892755508423,8.5506234485267599e-06,9.1514084488153458e-05,0.01389243625278809,7.0637695692710167e-10,3.758661881380398e-05,0.0048920311965048313,0,0,0,0,1.991687536239624,1.991687536239624,6.0781479987781495e-05,0.015625,-0.234375,0.015625,0
5,0.083333333333333329,1,0.094687999999999994,0.122336,0.002016,0.0037759999999999998,0.0014399999999999999,0.0024319999999999997,0.0021440000000000001,0.075359999999999996,0.002496,0.0050239999999999998,0.79587698546806351,1.8839999999999999,40,0.00076344514270469037,0.097960598766803741,1.130222502729006e-05,0.00011736806482076645,0.014804239879304458,1.5755038385023568e-09,5.6133837184043579e-05,0.0073053129017353058,0,0,0,0,2.4875380992889404,2.4956631399691105,7.6161594847690139e-05,0.015625,-0.23427326049950858,0.015625,0
6,0.10000000000000001,1,0.094528000000000001,0.12175999999999999,0.002016,0.003712,0.0015039999999999999,0.0023999999999999998,0.002176,0.075135999999999994,0.002624,0.00496,0.79485443466486116,1.8783999999999998,40,0.00091090216809139671,0.1169382631778717,1.4262479096362182e-05,0.00014483416453003883,0.015657531177301068,3.0777116410973804e-09,7.8456505671580613e-05,0.010205048136413097,0,0,0,0,2.9825630187988281,2.9996849168092012,9.1543118799108925e-05,0.015625,-0.23419662816173598,0.015625,0
7,0.11666666666666667,1,0.094591999999999996,0.12268799999999999,0.0019199999999999998,0.0036799999999999997,0.0014399999999999999,0.0024319999999999997,0.0023999999999999998,0.075296000000000002,0.002496,0.0049280000000000001,0.79600811907983771,1.8824000000000001,40,0.001056768022582107,0.13571052253246307,1.739842664596613e-05,0.00017340853810310364,0.016463808777497653,5.4730087128973537e-09,0.00010462321647605138,0.013597346842288971,0,0,0,0,3.4767634868621826,3.5016772206872702,0.00010686270815085663,0.015625,-0.23415266249343758,0.015625,0
8,0.13333333333333333,1,0.094495999999999997,0.122624,0.0022079999999999999,0.0038079999999999998,0.001472,0.002464,0.0018239999999999999,0.075263999999999998,0.002496,0.00496,0.79647815780562137,1.8815999999999999,40,0.0012059328158605827,0.1556437611579895,2.0631934376062918e-05,0.00020229816436767578,0.017108693042190308,9.0461025337162937e-09,0.00013450726771231579,0.017461374402046204,0,0,0,0,3.9701409339904785,3.9993798527866602,0.0001220513871089679,0.015625,-0.23414653552650319,0.015625,0
9,0.14999999999999999,1,0.094432000000000002,0.12239999999999999,0.0020799999999999998,0.0036799999999999997,0.0014399999999999999,0.0024319999999999997,0.0021440000000000001,0.075296000000000002,0.002496,0.0048639999999999994,0.79735682819383258,1.8824000000000001,40,0.001350338469267296,0.17438285052776337,2.3975986883157483e-05,0.00023187790066003799,0.017755538651110962,1.4146117166546901e-08,0.00016820295577989644,0.021809983998537064,0,0,0,0,4.4626970291137695,4.5056031942367554,0.00013750009748036973,0.015625,-0.23407741106411492,0.015625,0
10,0.16666666666666666,1,0.094687999999999994,0.12236799999999999,0.0020479999999999999,0.0036479999999999998,0.001472,0.0023999999999999998,0.0022399999999999998,0.075359999999999996,0.002464,0.0050559999999999997,0.79587698546806351,1.8839999999999999,40,0.0015040871843275438,0.19506597518920898,2.7501072986612962e-05,0.0002629552036523819,0.01828422798436934,2.1166554731166798e-08,0.00020575011412471585,0.026628680527210236,0,0,0,0,4.954432487487793,5.0051026791334152,0.00015274361203410081,0.015625,-0.23405863416488393,0.015625,0
