step_index,simulation_time_s,emitter_enabled,solver_gpu_ms,diagnostics_gpu_ms,source_gpu_ms,velocity_advection_gpu_ms,buoyancy_gpu_ms,divergence_gpu_ms,pressure_clear_gpu_ms,pressure_solve_gpu_ms,pressure_gradient_gpu_ms,scalar_advection_gpu_ms,pressure_fraction,pressure_iteration_us,pressure_iterations,rms_divergence_before,max_abs_divergence_before,rms_divergence_after,max_abs_divergence_after,divergence_remaining_fraction,kinetic_energy,velocity_rms,velocity_max,nonfinite_divergence_before,nonfinite_divergence_after,nonfinite_velocity,density_min,density_max,density_sum,density_integral,density_centre_x,density_centre_y,density_centre_z,nonfinite_density_cells
1,0.016666666666666666,1,0.097311999999999996,0.1216,0.0013439999999999999,0.0041919999999999995,0.0014399999999999999,0.0024319999999999997,0.0022719999999999997,0.07708799999999999,0.006816,0.0017279999999999999,0.79217362709634986,1.9271999999999998,40,0.00015625002644810369,0.020000003278255463,1.484763771158628e-06,1.8566337530501187e-05,0.0095024865269496255,7.21760845534547e-12,3.7993705940182962e-06,0.00049479445442557335,0,0,0,0,0.49916735291481018,0.49916735291481018,1.5233378690027166e-05,0.015625,-0.234375,0.015625,0
2,0.033333333333333333,1,0.107456,0.121472,0.002016,0.0037759999999999998,0.0014399999999999999,0.0023999999999999998,0.001792,0.091327999999999993,0.002784,0.0019199999999999998,0.84991066110780222,2.2831999999999999,40,0.00031093611757512996,0.039799369871616364,3.5451352555179656e-06,4.1396939195692539e-05,0.011401490708654559,6.4488185624878014e-11,1.1356776446234909e-05,0.0014785805251449347,0,0,0,0,0.99750345945358276,0.99750345945358276,3.0441389753832482e-05,0.015625,-0.234375,0.015625,0
3,0.050000000000000003,1,0.107904,0.12140799999999999,0.002016,0.0037759999999999998,0.001472,0.0024319999999999997,0.0021440000000000001,0.091327999999999993,0.002784,0.001952,0.84638196915776975,2.2831999999999999,40,0.00046401407057756078,0.059392087161540985,5.937385278011331e-06,6.5986299887299538e-05,0.012795700937734574,2.5611079923493207e-10,2.2632313148899829e-05,0.002946050837635994,0,0,0,0,1.4950097799301147,1.4950097799301147,4.5624077756656334e-05,0.015625,-0.234375,0.015625,0
4,0.066666666666666666,1,0.093311999999999992,0.12124799999999999,0.0021119999999999997,0.0039680000000000002,0.0015039999999999999,0.0024319999999999997,0.0034879999999999998,0.075359999999999996,0.002464,0.0019840000000000001,0.80761316872427991,1.8839999999999999,40,0.00061548768646037331,0.078778892755508423,8.5506234485267599e-06,9.1514084488153458e-05,0.01389243625278809,7.0637695692710167e-10,3.758661881380398e-05,0.0048920311965048313,0,0,0,0,1.9839075803756714,1.9839075803756714,6.0544054576894268e-05,0.015625,-0.234375,0.015625,0
5,0.083333333333333329,1,0.16550399999999998,0.121184,0.0019840000000000001,0.0037439999999999999,0.0038079999999999998,0.0066879999999999995,0.010432,0.134688,0.0022079999999999999,0.001952,0.81380510440835274,3.3671999999999995,40,0.00076106739589778204,0.097656227648258209,1.1280396166215991e-05,0.00011708610691130161,0.014821809772719585,1.572259988869007e-09,5.6076019631728626e-05,0.007297782227396965,0,0,0,0,2.4700846672058105,2.4797712741419673,7.5676613590758279e-05,0.015625,-0.23425292968250283,0.015625,0
6,0.10000000000000001,1,0.16358399999999998,0.121152,0.0022719999999999997,0.0038079999999999998,0.0031359999999999999,0.0065919999999999998,0.014591999999999999,0.12911999999999998,0.0021119999999999997,0.001952,0.78931924882629112,3.2279999999999993,40,0.00090551084439619207,0.11625968664884567,1.413537092697406e-05,0.0001432439312338829,0.015610382818109409,3.051722652358535e-09,7.8124549948892957e-05,0.010165220126509666,0,0,0,0,2.9535560607910156,2.9747713319957256,9.0782816528189869e-05,0.015625,-0.23415213338231533,0.015625,0
7,0.11666666666666667,1,0.091583999999999999,0.12134399999999999,0.0019199999999999998,0.0041919999999999995,0.001408,0.0024319999999999997,0.0018879999999999999,0.075423999999999991,0.0024319999999999997,0.0018879999999999999,0.82354996505939893,1.8855999999999997,40,0.0010476529074478062,0.1345924586057663,1.7074843598555828e-05,0.00016953051090240479,0.01629818757450114,5.3753823614499652e-09,0.0001036858945223502,0.013488061726093292,0,0,0,0,3.4208688735961914,3.4554340578615665,0.00010545147881657613,0.015625,-0.23406240193266445,0.015625,0
8,0.13333333333333333,1,0.091647999999999993,0.12124799999999999,0.0018879999999999999,0.003712,0.0014399999999999999,0.0023999999999999998,0.0024319999999999997,0.075327999999999992,0.002464,0.0019840000000000001,0.82192737430167595,1.8831999999999998,40,0.0011879850660521702,0.15349923074245453,1.9992298560144758e-05,0.00019485596567392349,0.016828745690029408,8.7719556063348136e-09,0.00013245343035448205,0.017224112525582314,0,0,0,0,3.8837587833404541,3.9334219954907894,0.00012003851304598356,0.015625,-0.2339804388821039,0.015625,0
9,0.14999999999999999,1,0.091488,0.121472,0.0020479999999999999,0.0039039999999999999,0.0015039999999999999,0.0024319999999999997,0.001952,0.075263999999999998,0.002464,0.0019199999999999998,0.8226652675760755,1.8815999999999999,40,0.001322425309660587,0.17109251022338867,2.2944059016681383e-05,0.0002202894538640976,0.017349984796169844,1.3528026698850226e-08,0.00016448724387532442,0.021382428705692291,0,0,0,0,4.3251724243164062,4.4085566475987434,0.00013453847191158275,0.015625,-0.23378393195077979,0.015625,0
10,0.16666666666666666,1,0.091551999999999994,0.12143999999999999,0.0020799999999999998,0.0037439999999999999,0.001472,0.0023999999999999998,0.0021119999999999997,0.075327999999999992,0.002464,0.001952,0.82278923453337993,1.8831999999999998,40,0.0014580741562699377,0.18988010287284851,2.5889151980743832e-05,0.00024511292576789856,0.017755716929359591,1.9897278491498582e-08,0.00019948573127669347,0.02591044083237648,0,0,0,0,4.7418694496154785,4.8620983362197876,0.00014837946582701989,0.015625,-0.23360225694822007,0.015625,0
