tag,resolution,mode,cfl,steps,solid_cells,voxel_wall_separates_sides,blocked_face_velocity_max,solid_density_max,downstream_mass,downstream_mass_over_initial,remaining_mass_over_initial,max_density,validated
r32-wall10-cfl0,32,10,0,8,0,False,0,0,0.0,0.0,1.0,1.0,True
r32-wall10-cfl0.5,32,10,0.5,24,0,False,0,0,1140.863127168268,0.8912993181002093,0.999986575866933,0.6925437450408936,True
r32-wall10-cfl2,32,10,2,6,0,False,0,0,1280.0,1.0,1.0,1.0,True
r32-wall10-cfl4,32,10,4,3,0,False,0,0,1280.0,1.0,1.0,1.0,True
r32-wall11-cfl0,32,11,0,8,1024,True,0,0,0.0,0.0,1.0,1.0,True
r32-wall11-cfl0.5,32,11,0.5,24,1024,True,0,0,0.0,0.0,0.0696539431810379,0.22511233389377594,True
r32-wall11-cfl2,32,11,2,6,1024,True,0,0,0.0,0.0,0.0,0.0,True
r32-wall11-cfl4,32,11,4,3,1024,True,0,0,0.0,0.0,0.0,0.0,True
r32-wall12-cfl0,32,12,0,8,1024,True,0,0,0.0,0.0,1.0,1.0,True
r32-wall12-cfl0.5,32,12,0.5,24,1024,True,0,0,0.0,0.0,0.08504307381808758,0.47545576095581055,True
r32-wall12-cfl2,32,12,2,6,1024,True,0,0,0.0,0.0,0.0,0.0,True
r32-wall12-cfl4,32,12,4,3,1024,True,0,0,0.0,0.0,0.0,0.0,True
r32-wall13-cfl0,32,13,0,8,0,False,0,0,0.0,0.0,1.0,1.0,True
r32-wall13-cfl0.5,32,13,0.5,24,0,False,0,0,1209.2977432571352,0.9447638619196368,0.999986575866933,0.6925437450408936,True
r32-wall13-cfl2,32,13,2,6,0,False,0,0,1280.0,1.0,1.0,1.0,True
r32-wall13-cfl4,32,13,4,3,0,False,0,0,1280.0,1.0,1.0,1.0,True
r64-wall10-cfl0,64,10,0,8,0,False,0,0,0.0,0.0,1.0,1.0,True
r64-wall10-cfl0.5,64,10,0.5,48,0,False,0,0,9003.313763896935,0.9769220663950667,1.0000004061942807,0.8065876364707947,True
r64-wall10-cfl2,64,10,2,12,0,False,0,0,9216.0,1.0,1.0,1.0,True
r64-wall10-cfl4,64,10,4,6,0,False,0,0,9216.0,1.0,1.0,1.0,True
r64-wall11-cfl0,64,11,0,8,4096,True,0,0,0.0,0.0,1.0,1.0,True
r64-wall11-cfl0.5,64,11,0.5,48,4096,True,0,0,0.0,0.0,0.015786925541660994,0.08674664050340652,True
r64-wall11-cfl2,64,11,2,12,4096,True,0,0,0.0,0.0,0.0,0.0,True
r64-wall11-cfl4,64,11,4,6,4096,True,0,0,0.0,0.0,0.0,0.0,True
r64-wall12-cfl0,64,12,0,8,4096,True,0,0,0.0,0.0,1.0,1.0,True
r64-wall12-cfl0.5,64,12,0.5,48,4096,True,0,0,0.0,0.0,0.029207744182007014,0.39524370431900024,True
r64-wall12-cfl2,64,12,2,12,4096,True,0,0,0.0,0.0,0.0,0.0,True
r64-wall12-cfl4,64,12,4,6,4096,True,0,0,0.0,0.0,0.0,0.0,True
r64-wall13-cfl0,64,13,0,8,0,False,0,0,0.0,0.0,1.0,1.0,True
r64-wall13-cfl0.5,64,13,0.5,48,0,False,0,0,9102.309491435997,0.9876637903033851,1.0000004061942807,0.8065876364707947,True
r64-wall13-cfl2,64,13,2,12,0,False,0,0,9216.0,1.0,1.0,1.0,True
r64-wall13-cfl4,64,13,4,6,0,False,0,0,9216.0,1.0,1.0,1.0,True
