shape,resolution,shift,dt_scale,step,sampling,budget,changed_cells,normalized_l1,max_abs,mass_error_relative,density_min,density_max,reference_4096_8192_l1,reference_independent_l1
sharp,32,0,1,1,hardware,512,0,0.0,0.0,-0.0013253348214285715,0.0,1.0,0.0,0.0
sharp,32,0,1,2,hardware,512,0,0.0,0.0,-0.0026414053780691965,0.0,1.0,0.0,0.0
sharp,32,0,1,1,float,512,374,6.361931791839262e-05,0.0001773834228515625,-0.0011830067450464554,0.0,1.0,0.0,8.525571986798974e-09
sharp,32,0,1,2,float,512,836,0.00012730780977937992,0.00033587589859962463,-0.0023645698620647438,0.0,1.0,0.0,1.8639611914753478e-08
sharp,32,0.75,1,1,hardware,512,8,9.312721177127957e-05,0.00390625,-0.001209077380952381,0.0,1.0,0.0,0.0
sharp,32,0.75,1,2,hardware,512,32,0.00017738853479984235,0.0065155029296875,-0.0024119785853794645,0.0,1.0,0.0,0.0
sharp,32,0.75,1,1,float,512,320,6.777795326813561e-05,0.0001773834228515625,-0.001239493792743658,0.0,1.0,0.0,1.2167375030455933e-08
sharp,32,0.75,1,2,float,512,712,0.0001353371450914748,0.00033551454544067383,-0.0024793920346529454,0.0,1.0,0.0,2.3568923457935577e-08
sharp,32,0,2,1,hardware,512,16,0.0001398014818957081,0.00390625,-0.001953125,0.0,1.0,0.0,0.0
sharp,32,0,2,2,hardware,512,72,0.00026295102188349,0.005584716796875,-0.003918784005301339,0.0,1.0,0.0,0.0
sharp,32,0,2,1,float,512,374,0.000125787783226704,0.0003528594970703125,-0.0017517380120207601,0.0,1.0,0.0,5.5451205332773126e-08
sharp,32,0,2,2,float,512,836,0.0002517117690347127,0.0006483346223831177,-0.0035132563643683412,0.0,1.0,0.0,1.0532594007238086e-07
sharp,32,0.5,0.5,1,hardware,512,0,0.0,0.0,-0.0006510416666666666,0.0,1.0,0.0,0.0
sharp,32,0.5,0.5,2,hardware,512,0,0.0,0.0,-0.0013030370076497395,0.0,1.0,0.0,0.0
sharp,32,0.5,0.5,1,float,512,322,3.391008694597304e-05,8.96453857421875e-05,-0.0007083253362670424,0.0,1.0,0.0,0.0
sharp,32,0.5,0.5,2,float,512,719,6.775396384400474e-05,0.0001760721206665039,-0.001415629005087399,0.0,1.0,0.0,7.106290443735421e-10
smooth,32,0,1,1,hardware,512,356,2.5207908891098686e-05,0.0008468031883239746,-0.0012285212254919337,1.2410929451014507e-27,0.9699345827102661,0.0,0.0
smooth,32,0,1,2,hardware,512,1264,5.0255279627773043e-05,0.0014845728874206543,-0.002455836266208114,1.2410929451014507e-27,0.9589945673942566,0.0,0.0
smooth,32,0,1,1,float,512,32756,5.750015384845365e-05,3.1113624572753906e-05,-0.0011924871650991502,1.2422286659896559e-27,0.9699652194976807,0.0,1.4897254220081835e-08
smooth,32,0,1,2,float,512,32761,0.00011483491083178018,6.0558319091796875e-05,-0.002383038475484039,1.2433688165167331e-27,0.9590572714805603,0.0,2.9935824063233366e-08
sharp,64,0,1,1,hardware,2048,0,0.0,0.0,-0.0004991319444444444,0.0,1.0,0.0,0.0
sharp,64,0,1,2,hardware,2048,80,1.10310698567955e-05,0.0006103515625,-0.0009710523817274305,0.0,1.0,0.0,0.0
sharp,64,0,1,1,float,2048,1280,6.242813229081938e-05,0.000335693359375,-0.00042859223486936397,0.0,1.0,7.25544257559629e-08,5.06887084048508e-08
sharp,64,0,1,2,float,2048,2696,0.00012451759643266401,0.0006535649299621582,-0.0008572799828651038,0.0,1.0,1.49163294682392e-07,9.966705454700989e-08
sharp,64,0.25,1,1,hardware,2048,15,2.0041686708353376e-05,0.00390625,-0.0004607371794871795,0.0,1.0,0.0,0.0
sharp,64,0.25,1,2,hardware,2048,75,3.45411942512174e-05,0.0045013427734375,-0.0009167010967548077,0.0,1.0,0.0,0.0
sharp,64,0.25,1,1,float,2048,1288,6.0169284878593046e-05,0.000339508056640625,-0.0004337724797661729,0.0,1.0,7.894109059291991e-08,5.8716513664155314e-08
sharp,64,0.25,1,2,float,2048,2715,0.00012005590564426249,0.0006636381149291992,-0.0008686935033374461,0.0,1.0,1.572392417739138e-07,1.1377948942814621e-07
sharp,64,0,2,1,hardware,2048,78,0.00010582412572991512,0.00390625,-0.00017632378472222222,0.0,1.0,0.0,0.0
sharp,64,0,2,2,hardware,2048,426,0.00021589182696589754,0.0046844482421875,-0.00043172836303710936,0.0,1.0,0.0,0.0
sharp,64,0,2,1,float,2048,1280,0.00012350365246729144,0.000667572021484375,-0.0002481893315537794,0.0,1.0,1.9788764888297324e-07,1.1786568421432465e-07
sharp,64,0,2,2,float,2048,2696,0.00024647113441024086,0.0012435317039489746,-0.0004950733421965639,0.0,1.0,4.264190523424879e-07,2.628981296276521e-07
sharp,64,0.5,0.5,1,hardware,2048,15,1.8786045725235294e-05,0.00390625,-0.00030048076923076925,0.0,1.0,0.0,0.0
sharp,64,0.5,0.5,2,hardware,2048,75,3.596903931907819e-05,0.0068206787109375,-0.0005998611450195312,0.0,1.0,0.0,0.0
sharp,64,0.5,0.5,1,float,2048,1346,2.970367479259214e-05,0.000171661376953125,-0.00029270809794140334,0.0,1.0,3.424545412783093e-08,2.446103866273638e-09
sharp,64,0.5,0.5,2,float,2048,2835,5.9367846076090254e-05,0.00033986568450927734,-0.000585155606706149,0.0,1.0,6.9392909778125e-08,5.958793697994902e-09
smooth,64,0,1,1,hardware,2048,9139,3.979276641147249e-05,0.00042891502380371094,-0.0004545421671021669,2.095896873098055e-28,0.9874136447906494,1.0181251505163493e-11,2.2269346299766087e-11
smooth,64,0,1,2,hardware,2048,31347,7.927342510665879e-05,0.0007439255714416504,-0.0009098964305713148,2.095896873098055e-28,0.981418788433075,2.0015334373715354e-11,4.360262186758532e-11
smooth,64,0,1,1,float,2048,262012,5.170666749290388e-05,3.1948089599609375e-05,-0.00042897849440514887,2.096040836361398e-28,0.9874061942100525,7.474231805506762e-08,5.205612603782236e-08
smooth,64,0,1,2,float,2048,262086,0.00010332931801679203,6.264448165893555e-05,-0.0008588190813328805,2.096184799624741e-28,0.9814083576202393,1.4783778062774247e-07,1.0344675783222926e-07
