shape,resolution,shift,dt_scale,step,sampling,budget,changed_cells,normalized_l1,max_abs,mass_error_relative,density_min,density_max,reference_4096_8192_l1,reference_independent_l1
sharp,32,0.0,1.0,1,hardware,512,0,0.0,0.0,-0.0013253348214285715,0.0,1.0,0.0,0.0
sharp,32,0.0,1.0,2,hardware,512,0,0.0,0.0,-0.0026414053780691965,0.0,1.0,0.0,0.0
sharp,32,0.0,1.0,1,float,512,374,6.361505567475396e-05,0.0001773834228515625,-0.001183019517470336,0.0,1.0,0.0,0.0
sharp,32,0.0,1.0,2,float,512,836,0.0001272988703259314,0.00033587589859962463,-0.0023645947468167805,0.0,1.0,0.0,2.634220688432797e-09
sharp,32,0.75,1.0,1,hardware,512,8,9.312721177127957e-05,0.00390625,-0.001209077380952381,0.0,1.0,0.0,0.0
sharp,32,0.75,1.0,2,hardware,512,32,0.00017738853479984235,0.0065155029296875,-0.0024119785853794645,0.0,1.0,0.0,0.0
sharp,32,0.75,1.0,1,float,512,320,6.777899190162738e-05,0.0001773834228515625,-0.0012395134225843527,0.0,1.0,0.0,2.8420146321567514e-09
sharp,32,0.75,1.0,2,float,512,712,0.00013533651588141634,0.00033551454544067383,-0.0024794298387640253,0.0,1.0,0.0,5.355184097472117e-09
sharp,32,0.0,2.0,1,hardware,512,16,0.0001398014818957081,0.00390625,-0.001953125,0.0,1.0,0.0,0.0
sharp,32,0.0,2.0,2,hardware,512,72,0.00026295102188349,0.005584716796875,-0.003918784005301339,0.0,1.0,0.0,0.0
sharp,32,0.0,2.0,1,float,512,374,0.00012578354697299318,0.0003528594970703125,-0.0017517507552758463,0.0,1.0,0.0,4.692025066619265e-08
sharp,32,0.0,2.0,2,float,512,836,0.00025170325787060615,0.0006479844450950623,-0.0035132813910655003,0.0,1.0,0.0,8.928760076828247e-08
sharp,32,0.5,0.5,1,hardware,512,0,0.0,0.0,-0.0006510416666666666,0.0,1.0,0.0,0.0
sharp,32,0.5,0.5,2,hardware,512,0,0.0,0.0,-0.0013030370076497395,0.0,1.0,0.0,0.0
sharp,32,0.5,0.5,1,float,512,322,3.389304502591378e-05,8.96453857421875e-05,-0.0007083253362670424,0.0,1.0,0.0,1.7042497971850264e-08
sharp,32,0.5,0.5,2,float,512,719,6.772063322562204e-05,0.0001760721206665039,-0.0014156290204364755,0.0,1.0,0.0,3.402396903412089e-08
smooth,32,0.0,1.0,1,hardware,512,356,2.5207908891098686e-05,0.0008468031883239746,-0.0012285212254919337,1.2410929451014507e-27,0.9699345827102661,0.0,0.0
smooth,32,0.0,1.0,2,hardware,512,1264,5.0255279627773043e-05,0.0014845728874206543,-0.002455836266208114,1.2410929451014507e-27,0.9589945673942566,0.0,0.0
smooth,32,0.0,1.0,1,float,512,32757,5.749504254618944e-05,3.1054019927978516e-05,-0.001192493668757905,1.2422286659896559e-27,0.9699652194976807,0.0,1.3498643698618e-08
smooth,32,0.0,1.0,2,float,512,32762,0.00011482443305615441,6.0498714447021484e-05,-0.0023830518821124657,1.2433688165167331e-27,0.9590572714805603,0.0,2.7124768598512318e-08
sharp,64,0.0,1.0,1,hardware,2048,0,0.0,0.0,-0.0004991319444444444,0.0,1.0,0.0,0.0
sharp,64,0.0,1.0,2,hardware,2048,80,1.10310698567955e-05,0.0006103515625,-0.0009710523817274305,0.0,1.0,0.0,0.0
sharp,64,0.0,1.0,1,float,2048,1280,6.24273862760049e-05,0.000335693359375,-0.00042859645717830596,0.0,1.0,6.940708734196824e-08,5.7811631222785004e-08
sharp,64,0.0,1.0,2,float,2048,2696,0.00012451938045746476,0.0006535649299621582,-0.0008572892844284751,0.0,1.0,1.426035121291841e-07,1.1351006895623767e-07
sharp,64,0.25,1.0,1,hardware,2048,15,2.0041686708353376e-05,0.00390625,-0.0004607371794871795,0.0,1.0,0.0,0.0
sharp,64,0.25,1.0,2,hardware,2048,75,3.45411942512174e-05,0.0045013427734375,-0.0009167010967548077,0.0,1.0,0.0,0.0
sharp,64,0.25,1.0,1,float,2048,1288,6.015998318022048e-05,0.000339508056640625,-0.00043377460305478016,0.0,1.0,6.39357583638141e-08,7.633146661802296e-08
sharp,64,0.25,1.0,2,float,2048,2715,0.00012003970486831,0.0006636381149291992,-0.0008686990101098975,0.0,1.0,1.2675355719752523e-07,1.487953745998424e-07
sharp,64,0.0,2.0,1,hardware,2048,78,0.00010582412572991512,0.00390625,-0.00017632378472222222,0.0,1.0,0.0,0.0
sharp,64,0.0,2.0,2,hardware,2048,426,0.00021589182696589754,0.0046844482421875,-0.00043172836303710936,0.0,1.0,0.0,0.0
sharp,64,0.0,2.0,1,float,2048,1280,0.00012351033276026993,0.000667572021484375,-0.00024820403504008934,0.0,1.0,2.244926979426827e-07,1.1237922815785554e-07
sharp,64,0.0,2.0,2,float,2048,2696,0.00024649899475300354,0.0012435317039489746,-0.0004950989049965592,0.0,1.0,4.725716993790636e-07,2.4881819553612637e-07
sharp,64,0.5,0.5,1,hardware,2048,15,1.8786045725235294e-05,0.00390625,-0.00030048076923076925,0.0,1.0,0.0,0.0
sharp,64,0.5,0.5,2,hardware,2048,75,3.596903931907819e-05,0.0068206787109375,-0.0005998611450195312,0.0,1.0,0.0,0.0
sharp,64,0.5,0.5,1,float,2048,1346,2.9690386560178817e-05,0.000171661376953125,-0.000292712211618588,0.0,1.0,2.2626460500134453e-08,1.4065097067651147e-08
sharp,64,0.5,0.5,2,float,2048,2835,5.934226822608617e-05,0.00033986568450927734,-0.0005851633867211767,0.0,1.0,4.709686825437126e-08,2.9350045437929466e-08
smooth,64,0.0,1.0,1,hardware,2048,9143,3.973482586848626e-05,0.00042891502380371094,-0.0004546000847998275,2.095896873098055e-28,0.9874136447906494,4.367404839648039e-12,1.6745436589060006e-11
smooth,64,0.0,1.0,2,hardware,2048,31351,7.915918451862632e-05,0.0007439255714416504,-0.0009100105704560569,2.095896873098055e-28,0.981418788433075,8.59789000510025e-12,3.263971939141458e-11
