step,emitter,before_source,after_source,before_advection,forward,reverse,corrected,limited,final,expected_injection,measured_injection,forward_delta,correction_delta,lower_changed_cells,lower_delta,upper_changed_cells,upper_delta,damping_and_positivity_delta,damping_residual,limiter_residual,pattern_errors,injection_errors,untouched_errors,nonfinite,audit_failed
1,1,0,0.5,0.5,0.5,0.5,0.66666662693023682,0.5,0.49916735291481018,0.5,0.5,0,0.16666662693023682,0,0,1,-0.16666662693023682,-0.00083264708518981934,-7.7548728549814427e-09,0,1,0,0,0,1
2,1,0.49916735291481018,0.99916738271713257,0.99916738271713257,0.99916738271713257,0.99916738271713257,1.3327759504318237,0.99916738271713257,0.99750345945358276,0.5,0.50000002980232239,0,0.33360856771469116,0,0,1,-0.33360856771469116,-0.0016639232635498047,-3.1142709522313794e-08,0,2,1,0,0,1
3,1,0.99750345945358276,1.4975035190582275,1.4975035190582275,1.4975035190582275,1.4975035190582275,1.9983241558074951,1.4975035190582275,1.4950097799301147,0.5,0.50000005960464478,0,0.50082063674926758,0,0,1,-0.50082063674926758,-0.002493739128112793,2.1526399107685279e-08,0,2,0,0,0,1
4,1,1.4950097799301147,1.9950097799301147,1.9950097799301147,1.9872168302536011,1.9794542789459229,2.6580817699432373,1.9950097799301147,1.991687536239624,0.5,0.5,-0.0077929496765136719,0.67086493968963623,0,0,1,-0.66307199001312256,-0.0033222436904907227,3.5237828210910038e-09,0,2,0,0,0,1
5,1,1.991687536239624,2.491687536239624,2.491687536239624,2.4916874906048179,2.4916874598711729,3.3277229468803853,2.4998261304572225,2.4956631399691105,0.5,0.5,-4.5634806156158447e-08,0.83603545627556741,1,0.0015945604536682367,1,-0.82949137687683105,-0.0041629904881119728,-8.337776646882844e-08,0,2,0,0,0,1
6,1,2.4956631399691105,2.9956631399691105,2.9956631399691105,2.995631355792284,2.995631312020123,3.998933712253347,3.0046885572373867,2.9996849168092012,0.5,0.5,-3.1784176826477051e-05,1.003302356461063,1,0.0019055770244449377,1,-0.99615073204040527,-0.005003640428185463,3.3080325145817824e-09,0,4,0,0,0,1
7,1,2.9996849168092012,3.4996849168092012,3.4996849168092012,3.4860141817480326,3.4726365702226758,4.6591210968326777,3.5075183100998402,3.5016772206872702,0.5,0.5,-0.013670735061168671,1.1731069150846452,1,0.0022053301800042391,1,-1.1538081169128418,-0.0058410894125699997,-9.4018977936372039e-08,0,4,0,0,0,1
8,1,3.5016772206872702,4.0016772206872702,4.0016772206872702,3.986045565456152,3.9707903899252415,5.3231281649786979,4.0060511790215969,3.9993798527866602,0.5,0.5,-0.015631655231118202,1.3370825995225459,1,0.0025100063066929579,1,-1.3195869922637939,-0.0066713262349367142,-1.3469310466973639e-07,0,4,0,0,0,1
9,1,3.9993798527866602,4.4993798527866602,4.4993798527866602,4.4816900119185448,4.4646826796233654,5.9811087856069207,4.5131186693906784,4.5056031942367554,0.5,0.5,-0.017689840868115425,1.4994187736883759,1,0.005602165125310421,1,-1.4735922813415527,-0.0075154751539230347,1.250591221690911e-07,0,4,0,0,0,1
10,1,4.5056031942367554,5.0056031942367554,5.0056031942367554,4.966664360370487,4.9291353845328558,6.6322527087322669,5.0134517438709736,5.0051026791334152,0.5,0.5,-0.038938833866268396,1.6655883483617799,2,0.0061880678840680048,1,-1.6249890327453613,-0.0083490647375583649,-2.7053237161567267e-07,0,4,0,0,0,1
