step,emitter,before_source,after_source,before_advection,forward,reverse,corrected,limited,final,expected_injection,measured_injection,forward_delta,correction_delta,lower_changed_cells,lower_delta,upper_changed_cells,upper_delta,damping_and_positivity_delta,damping_residual,limiter_residual,pattern_errors,injection_errors,untouched_errors,nonfinite,readback_match,audit_failed
1,1,0,0.5,0.5,0.5,0.5,0.5,0.5,0.49916735291481018,0.5,0.5,0,0,0,0,0,0,-0.00083264708518981934,-7.7548728549814427e-09,0,0,0,0,0,1,0
2,1,0.49916735291481018,0.99916738271713257,0.99916738271713257,0.99916738271713257,0.99916738271713257,0.99916738271713257,0.99916738271713257,0.99750345945358276,0.5,0.50000002980232239,0,0,0,0,0,0,-0.0016639232635498047,-3.1142709522313794e-08,0,0,0,0,0,1,0
3,1,0.99750345945358276,1.4975035190582275,1.4975035190582275,1.4975035190582275,1.4975035190582275,1.4975035190582275,1.4975035190582275,1.4950097799301147,0.5,0.50000005960464478,0,0,0,0,0,0,-0.002493739128112793,2.1526399107685279e-08,0,0,0,0,0,1,0
4,1,1.4950097799301147,1.9950097799301147,1.9950097799301147,1.9872168302536011,1.9794542789459229,1.9949946403503418,1.9949946403503418,1.9916723966598511,0.5,0.5,-0.0077929496765136719,0.0077778100967407227,0,0,0,0,-0.0033222436904907227,-2.1687836193606813e-08,0,0,0,0,0,1,0
5,1,1.9916723966598511,2.4916725158691406,2.4916725158691406,2.4916724115610123,2.4916723221540451,2.4916723892092705,2.4965199269354343,2.492362592369318,0.5,0.50000011920928955,-1.0430812835693359e-07,-2.2351741790771484e-08,1,0.0048475377261638641,0,0,-0.004157334566116333,6.6794056508001631e-08,0,0,0,0,0,1,0
6,1,2.492362592369318,2.992362592369318,2.992362592369318,2.9923435263335705,2.9923435170203447,2.9923530640080571,2.9981652032583952,2.9931724844500422,0.5,0.5,-1.9066035747528076e-05,9.5376744866371155e-06,1,0.0058121392503380775,0,0,-0.0049927188083529472,6.1725688116354149e-08,0,0,0,0,0,1,0
7,1,2.9931724844500422,3.4931724844500422,3.4931724844500422,3.479527298361063,3.4661250775679946,3.4930508830584586,3.4997994154691696,3.4939711429178715,0.5,0.5,-0.013645186088979244,0.013523584697395563,1,0.00674853241071105,0,0,-0.0058282725512981415,-1.3126821807318834e-07,0,0,0,0,0,1,0
8,1,3.4939711429178715,3.9939711429178715,3.9939711429178715,3.978369802236557,3.9630869077518582,3.9938119198195636,4.0015177577733994,3.9948540050536394,0.5,0.5,-0.015601340681314468,0.01544211758300662,1,0.0077058379538357258,0,0,-0.0066637527197599411,-1.1058759241677762e-07,0,0,0,0,0,1,0
9,1,3.9948540050536394,4.4948542434722185,4.4948542434722185,4.4771977327764034,4.4601773135364056,4.4945364370942116,4.5117911472916603,4.504277765750885,0.5,0.5000002384185791,-0.017656510695815086,0.017338704317808151,1,0.01725471019744873,0,0,-0.0075133815407752991,7.9780466677448203e-09,0,0,0,0,0,1,0
10,1,4.504277765750885,5.004277765750885,5.004277765750885,4.965181790292263,4.9276604615151882,5.0034904424101114,5.0225684121251106,5.0142043717205524,0.5,0.5,-0.039095975458621979,0.038308652117848396,1,0.019077969714999199,0,0,-0.0083640404045581818,-6.4406272315409296e-08,0,0,0,0,0,1,0
