step,density_sum,density_min,density_max,density_hash_fnv1a64,kinetic_energy,rms_divergence_after
1,0.49916735291481018,0,0.49916735291481018,17086993791740786295,7.21760845534547e-12,1.484763771158628e-06
2,0.99750345945358276,0,0.99750345945358276,14200221736158520944,6.4488185624878014e-11,3.5451352555179656e-06
3,1.4950097799301147,0,1.4950097799301147,16338966431279334936,2.5611079923493207e-10,5.937385278011331e-06
4,1.9916723966598511,0,1.9916723966598511,3032820789745966808,7.0637695692710167e-10,8.5506234485267599e-06
5,2.492362592369318,0,2.4874851703643799,8646875726410045877,1.575497177164209e-09,1.1302182051371993e-05
6,2.9931724844500422,0,2.9824552536010742,2625578302525187714,3.0642546278158989e-09,1.4180938837755088e-05
7,3.4939711429178715,0,3.4764549732208252,7788331102916754047,5.4081898959168484e-09,1.7149101884379031e-05
8,3.9948540050536394,0,3.96958327293396,9126109541076960577,8.8556229016489851e-09,2.0136596253606932e-05
9,4.504277765750885,0,4.4614834785461426,8167704804226014701,1.3713250979208169e-08,2.3184596698915522e-05
10,5.0142043717205524,0,4.9519829750061035,6453855222366879373,2.0275496837030005e-08,2.6271533224038251e-05
11,5.5362481106858468,0,5.4412612915039062,11270940176879264600,2.8858782030738439e-08,2.9307426776272588e-05
12,6.0595523832016625,0,5.9286479949951172,2297876438646181476,3.9886657532406389e-08,3.242537016019775e-05
13,6.5963682673755102,0,6.4135141372680664,8430375011698131693,5.3647873698992044e-08,3.5452048417499751e-05
14,7.1345714345225133,0,6.8955268859863281,12409183516551259717,7.0463499923789641e-08,3.842947070246358e-05
15,7.6881553931161761,0,7.3737664222717285,4893090485210362118,9.0888512715991965e-08,4.161340759574498e-05
16,8.2447794810964297,0,7.8497133255004883,5286598414942349838,1.1526900323133304e-07,4.4766446318110059e-05
17,8.8186429822353603,0,8.3206205368041992,11342748134905974462,1.4364394473886932e-07,4.7854635477904462e-05
18,9.4116512915952626,0,8.7853240966796875,14608318684088347254,1.7637361793276796e-07,5.2048149873827792e-05
19,10.037765874982142,0,9.258082389831543,6227178935036816682,2.1409874761957326e-07,5.5859228324418984e-05
20,10.65259117138703,0,9.7030448913574219,10440939059727085228,2.5689050175969896e-07,5.9371696061830364e-05
21,11.287565915859886,0,10.137104988098145,970711075014824044,3.0499168701680901e-07,6.2628075473013904e-05
22,11.944884656437353,0,10.558334350585938,3017283709999495241,3.5844468015966413e-07,6.5998822519210457e-05
23,12.622798508011329,0,10.964607238769531,13122568577001276906,4.1823759033832175e-07,6.9446874133583577e-05
24,13.320989944870234,0,11.353589057922363,7194966152722316837,4.8437976829518448e-07,7.2933644793028162e-05
25,14.041721320136276,0,11.72275447845459,9251399593976495794,5.5728639836161165e-07,7.6429989200043624e-05
26,14.801366068830248,0,12.067930221557617,1983464277437216962,6.3659166471552453e-07,7.9938156636728713e-05
27,15.600169577199267,0,12.403366088867188,2490741001138380138,7.2228351655212464e-07,8.3889339682473375e-05
28,16.420579617065528,0,12.709017753601074,4620132889890264227,8.1468692769703921e-07,8.7810367010359875e-05
29,17.255537376767506,0,12.981542587280273,2565649716360236896,9.1541932079053367e-07,9.2140973285938452e-05
