step,emitter,before_source,after_source,before_advection,forward,reverse,corrected,limited,final,expected_injection,measured_injection,forward_delta,correction_delta,lower_changed_cells,lower_delta,upper_changed_cells,upper_delta,damping_and_positivity_delta,damping_residual,limiter_residual,pattern_errors,injection_errors,untouched_errors,nonfinite,readback_match,audit_failed
1,1,0,0.5,0.5,0.5,,0.5,0.5,0.49916735291481018,0.5,0.5,0,,0,0,0,0,-0.00083264708518981934,-7.7548728549814427e-09,0,0,0,0,0,1,0
2,1,0.49916735291481018,0.99916738271713257,0.99916738271713257,0.99916738271713257,,0.99916738271713257,0.99916738271713257,0.99750345945358276,0.5,0.50000002980232239,0,,0,0,0,0,-0.0016639232635498047,-3.1142709522313794e-08,0,0,0,0,0,1,0
3,1,0.99750345945358276,1.4975035190582275,1.4975035190582275,1.4975035190582275,,1.4975035190582275,1.4975035190582275,1.4950097799301147,0.5,0.50000005960464478,0,,0,0,0,0,-0.002493739128112793,2.1526399107685279e-08,0,0,0,0,0,1,0
4,1,1.4950097799301147,1.9950097799301147,1.9950097799301147,1.9872168302536011,,1.9872168302536011,1.9872168302536011,1.9839075803756714,0.5,0.5,-0.0077929496765136719,,0,0,0,0,-0.0033092498779296875,1.9903544146160357e-08,0,0,0,0,0,1,0
5,1,1.9839075803756714,2.4839076995849609,2.4839076995849609,2.4839077815413475,,2.4839077815413475,2.4839077815413475,2.4797712741419673,0.5,0.50000011920928955,8.1956386566162109e-08,,0,0,0,0,-0.0041365073993802071,-1.0877579725843134e-07,0,0,0,0,0,1,0
6,1,2.4797712741419673,2.9797712741419673,2.9797712741419673,2.9797334019094706,,2.9797334019094706,2.9797334019094706,2.9747713319957256,0.5,0.5,-3.7872232496738434e-05,,0,0,0,0,-0.0049620699137449265,1.6534833058301501e-08,0,0,0,0,0,1,0
7,1,2.9747713319957256,3.4747713319957256,3.4747713319957256,3.4611980244517326,,3.4611980244517326,3.4611980244517326,3.4554340578615665,0.5,0.5,-0.013573307543992996,,0,0,0,0,-0.0057639665901660919,-1.0737981837039001e-07,0,0,0,0,0,1,0
8,1,3.4554340578615665,3.9554340578615665,3.9554340578615665,3.9399831481277943,,3.9399831481277943,3.9399831481277943,3.9334219954907894,0.5,0.5,-0.015450909733772278,,0,0,0,0,-0.0065611526370048523,1.7222829384877514e-08,0,0,0,0,0,1,0
9,1,3.9334219954907894,4.4334222339093685,4.4334222339093685,4.4159102812409401,,4.4159102812409401,4.4159102812409401,4.4085566475987434,0.5,0.5000002384185791,-0.017511952668428421,,0,0,0,0,-0.0073536336421966553,8.7516427882405878e-08,0,0,0,0,0,1,0
10,1,4.4085566475987434,4.9085566475987434,4.9085566475987434,4.8702086582779884,,4.8702086582779884,4.8702086582779884,4.8620983362197876,0.5,0.5,-0.038347989320755005,,0,0,0,0,-0.0081103220582008362,-6.750673620103953e-08,0,0,0,0,0,1,0
