step,density_sum,density_min,density_max,density_hash_fnv1a64,kinetic_energy,rms_divergence_after
1,0.49916735291481018,0,0.49916735291481018,17086993791740786295,7.21760845534547e-12,1.484763771158628e-06
2,0.99750345945358276,0,0.99750345945358276,14200221736158520944,6.4488185624878014e-11,3.5451352555179656e-06
3,1.4950097799301147,0,1.4950097799301147,16338966431279334936,2.5611079923493207e-10,5.937385278011331e-06
4,1.9839075803756714,0,1.9839075803756714,6704724757546118494,7.0637695692710167e-10,8.5506234485267599e-06
5,2.4797712741419673,0,2.4700846672058105,9838881660078833399,1.572259988869007e-09,1.1280396166215991e-05
6,2.9747713319957256,0,2.9535560607910156,14541353755093419103,3.051722652358535e-09,1.413537092697406e-05
7,3.4554340578615665,0,3.4208688735961914,11109634183693572901,5.3753823614499652e-09,1.7074843598555828e-05
8,3.9334219954907894,0,3.8837587833404541,11458094694946752559,8.7719556063348136e-09,1.9992298560144758e-05
9,4.4085566475987434,0,4.3251724243164062,2816992676521737805,1.3528026698850226e-08,2.2944059016681383e-05
10,4.8620983362197876,0,4.7418694496154785,13349547994663176671,1.9897278491498582e-08,2.5889151980743832e-05
11,5.3336642082722392,0,5.151371955871582,14362328195549908377,2.818155664385813e-08,2.8792417585937439e-05
12,5.781266181380488,0,5.531766414642334,13986929422195074735,3.8642919975018231e-08,3.1616134715487487e-05
13,6.2246891490649432,0,5.8805880546569824,17510815725781606937,5.149993498321237e-08,3.4298058104738641e-05
14,6.6649846872314811,0,6.2206664085388184,14319073992091690094,6.6933729669926834e-08,3.6854302759335394e-05
15,7.1005688617005944,0,6.5260124206542969,4051319822764097972,8.5362067636651773e-08,3.9428373966144329e-05
16,7.5056927110708784,0,6.7951145172119141,8734829004012208756,1.0692773599885186e-07,4.2095681470991097e-05
17,7.9043542061699554,0,7.0269241333007812,14506205136905130835,1.3145685784365924e-07,4.45508686334122e-05
18,8.2989914034260437,0,7.2208585739135742,10398865988069589209,1.5912551987184997e-07,4.6748505127660315e-05
19,8.6598351448774338,0,7.3767976760864258,1563671259542479102,1.9038377274682716e-07,5.0454970934208814e-05
20,9.0122304052638356,0,7.4950704574584961,11234139249262833341,2.2467828841854498e-07,5.3179632671481577e-05
21,9.355700571264606,0,7.5764327049255371,11040518417410051993,2.6224029170407448e-07,5.5667503425557908e-05
22,9.7510621243272908,0,7.6535348892211914,9783489690284326394,3.0330093636621314e-07,5.7977769943042622e-05
23,10.138461980910506,0,7.6948027610778809,2262673577843842793,3.4755640854200465e-07,6.0278573180354167e-05
24,10.50074273138307,0,7.7017922401428223,13255533979021371580,3.9403249729730305e-07,6.2154767163653162e-05
25,10.853807341656648,0,7.6763758659362793,15466213934921355870,4.439538372480456e-07,6.4335121070540637e-05
26,11.196123919449747,0,7.620701789855957,15051305830243578393,4.9655778866508626e-07,6.6390604887106488e-05
27,11.568415690911934,0,7.5688114166259766,8061059177367625133,5.5197358506120509e-07,6.8362204524976647e-05
28,11.938294402556494,0,7.488980770111084,14373919718842342578,6.0957029290875653e-07,7.0222455322551113e-05
29,12.293092268519104,0,7.3837318420410156,5940983180845514332,6.7027713157585822e-07,7.3227150432521415e-05
