shape,resolution,shift_cells,dt_scale,step,iterations,cells,input_fields_identical,midpoint_changed_cells,departure_changed_cells,departure_delta_max_cells,departure_delta_rms_cells,hardware_changed_cells,hardware_l1,hardware_max_abs,float_sample_delta_l1,common_source_float_delta_l1,common_source_rounded_delta_l1,common_source_float_responding_cells,rounded_coordinate_changed_cells,changed_departure_same_rounded_coordinate_cells,changed_departure_constant_stencil_cells,changed_departure_equal_hw_cells,float_response_equal_hw_cells,max_hw_vs_rounded_model,max_hw_vs_float_sample,reference_4096_8192_l1,reference_exact_l1
sharp,32,0.0,1.0,1,512,32768,True,32767,32768,0.00017833709716796875,4.4235567795259485e-05,0,0.0,0.0,6.362010968688007e-05,6.35360252393539e-05,0.0,374,348,32420,32352,32768,374,0.0018463134765625,0.002773880958557129,0.0,0.0
sharp,32,0.0,1.0,2,512,32768,True,32767,32768,0.00017833709716796875,4.4235567795259485e-05,0,0.0,0.0,6.371076214702211e-05,6.362767230275206e-05,0.0,658,348,32420,32081,32768,658,0.0015001296997070312,0.0025571584701538086,0.0,0.0
sharp,32,0.75,1.0,1,512,32768,True,32767,32768,0.00017833709716796875,4.4235567795259485e-05,8,9.312721177127957e-05,0.00390625,6.777904743710764e-05,6.769064131292686e-05,9.300595238095238e-05,320,348,32420,32418,32760,312,0.00115966796875,0.0022898614406585693,0.0,0.0
sharp,32,0.75,1.0,2,512,32768,False,32767,32768,0.00017833709716796875,4.4235567795259485e-05,32,0.00017738853479984235,0.0065155029296875,0.00016096394968830212,6.775844116651926e-05,8.40554936324269e-05,568,348,32420,32181,32736,536,0.0009331703186035156,0.0017267465591430664,0.0,0.0
sharp,32,0.0,2.0,1,512,32768,True,32768,32768,0.0003566741943359375,8.832226601685591e-05,16,0.0001398014818957081,0.00390625,0.00012581083327022974,0.0001255462951094323,0.0001125335693359375,374,984,31784,32352,32752,358,0.0013580322265625,0.0032035410404205322,0.0,0.0
sharp,32,0.0,2.0,2,512,32768,False,32768,32768,0.0003566741943359375,8.832226601685591e-05,72,0.00026295102188349,0.005584716796875,0.0002660039422097491,0.00012577855813421468,0.00010689258508776912,658,984,31784,32081,32696,586,0.0007904171943664551,0.0024501681327819824,0.0,0.0
sharp,32,0.5,0.5,1,512,32768,True,32752,32768,8.96453857421875e-05,2.2268691401972358e-05,0,0.0,0.0,3.38900518412599e-05,3.3866844714446866e-05,0.0,322,196,32572,32411,32768,322,0.00152587890625,0.0019016265869140625,0.0,0.0
sharp,32,0.5,0.5,2,512,32768,True,32752,32768,8.96453857421875e-05,2.2268691401972358e-05,0,0.0,0.0,3.391950078001636e-05,3.389521724417554e-05,0.0,550,196,32572,32195,32768,550,0.0013589859008789062,0.001901388168334961,0.0,0.0
smooth,32,0.0,1.0,1,512,32768,True,32767,32768,0.00017833709716796875,4.4235567795259485e-05,356,2.5207908891098686e-05,0.0008468031883239746,5.7495349507939786e-05,5.742478861465306e-05,2.5016602201910638e-05,16897,348,32420,0,32412,16739,8.445978164672852e-05,0.0004687011241912842,0.0,0.0
smooth,32,0.0,1.0,2,512,32768,False,32767,32768,0.00017833709716796875,4.4235567795259485e-05,1264,5.0255279627773043e-05,0.0014845728874206543,8.261236899896806e-05,5.733712594788891e-05,2.4847156014679363e-05,16949,348,32420,0,31504,16341,8.499622344970703e-05,0.0004723072052001953,0.0,0.0
sharp,64,0.0,1.0,1,2048,262144,True,262004,262096,0.0003509521484375,9.659618024896763e-05,0,0.0,0.0,6.242805195215652e-05,6.239687652915014e-05,0.0,1280,9068,253028,260662,262096,1280,0.001953125,0.001934051513671875,0.0,0.0
sharp,64,0.0,1.0,2,2048,262144,True,262004,262096,0.0003509521484375,9.659618024896763e-05,80,1.10310698567955e-05,0.0006103515625,6.229042469106835e-05,6.226092620036932e-05,1.1002548684578348e-05,2220,9068,253028,259747,262016,2140,0.0012214183807373047,0.0016976594924926758,0.0,0.0
sharp,64,0.25,1.0,1,2048,262144,True,262004,262096,0.0003509521484375,9.659618024896763e-05,15,2.0041686708353376e-05,0.00390625,6.015933384545551e-05,6.0130322404461806e-05,1.220703125e-05,1288,9068,253028,260640,262081,1273,0.0017242431640625,0.002108275890350342,0.0,0.0
sharp,64,0.25,1.0,2,2048,262144,False,262004,262096,0.0003509521484375,9.659618024896763e-05,75,3.45411942512174e-05,0.0045013427734375,8.011033982127587e-05,6.003451788374097e-05,1.0304025145740641e-05,2205,9068,253028,259749,262021,2130,0.0012214183807373047,0.0016110092401504517,0.0,0.0
sharp,64,0.0,2.0,1,2048,262144,True,262111,262138,0.00075531005859375,0.0001932779630490224,78,0.00010582412572991512,0.00390625,0.0001235000807999877,0.0001234652079051644,0.00010579427083333334,1280,17501,244637,260704,262060,1202,0.001800537109375,0.0021015703678131104,0.0,0.0
sharp,64,0.0,2.0,2,2048,262144,False,262111,262138,0.00075531005859375,0.0001932779630490224,426,0.00021589182696589754,0.0046844482421875,0.0002292260788320629,0.00012336271600026848,0.00011141603950008446,2220,17501,244637,259789,261712,1794,0.0012238025665283203,0.0019170045852661133,0.0,0.0
sharp,64,0.5,0.5,1,2048,262144,True,261836,262009,0.000202178955078125,4.8257396588738895e-05,15,1.8786045725235294e-05,0.00390625,2.9690336381845083e-05,2.9680839947492073e-05,3.7560096153846156e-05,1346,3879,258130,260483,261994,1331,0.00390625,0.001953125,0.0,0.0
sharp,64,0.5,0.5,2,2048,262144,False,261836,262009,0.000202178955078125,4.8257396588738895e-05,75,3.596903931907819e-05,0.0068206787109375,4.8501792297131747e-05,2.9706479355165784e-05,3.5662127115338104e-05,2278,3879,258130,259578,261934,2203,0.0038604736328125,0.0019093379378318787,0.0,0.0
smooth,64,0.0,1.0,1,2048,262144,True,262004,262096,0.0003509521484375,9.659618024896763e-05,9143,3.973482586848626e-05,0.00042891502380371094,5.170932129576158e-05,5.1684980555452497e-05,3.902845440538227e-05,133885,9068,253028,0,252953,128881,0.00010293722152709961,0.0002678036689758301,4.367404839648039e-12,1.6745436589060006e-11
