step_index,simulation_time_s,emitter_enabled,solver_gpu_ms,diagnostics_gpu_ms,source_gpu_ms,velocity_advection_gpu_ms,buoyancy_gpu_ms,divergence_gpu_ms,pressure_clear_gpu_ms,pressure_solve_gpu_ms,pressure_gradient_gpu_ms,scalar_advection_gpu_ms,pressure_fraction,pressure_iteration_us,pressure_iterations,rms_divergence_before,max_abs_divergence_before,rms_divergence_after,max_abs_divergence_after,divergence_remaining_fraction,kinetic_energy,velocity_rms,velocity_max,nonfinite_divergence_before,nonfinite_divergence_after,nonfinite_velocity,density_min,density_max,density_sum,density_integral,density_centre_x,density_centre_y,density_centre_z,nonfinite_density_cells,enstrophy,max_vorticity
1,0.016666666666666666,1,0.097535999999999998,0.16364799999999999,0.0013759999999999998,0.003712,0.001408,0.0024319999999999997,0.0027519999999999997,0.075679999999999997,0.0054079999999999996,0.0047679999999999997,0.77591863517060367,1.8919999999999999,40,0.00015625002644810369,0.020000003278255463,1.484763771158628e-06,1.8566337530501187e-05,0.0095024865269496255,7.21760845534547e-12,3.7993705940182962e-06,0.00049479445442557335,0,0,0,0,0.49916735291481018,0.49916735291481018,1.5233378690027166e-05,0.015625,-0.234375,0.015625,0,1.8310553073774827e-08,0.010000001639127731
2,0.033333333333333333,1,0.102784,0.16950399999999999,0.002016,0.0036159999999999999,0.001472,0.0024319999999999997,0.0022719999999999997,0.083199999999999996,0.0027519999999999997,0.0050239999999999998,0.80946450809464499,2.0800000000000001,40,0.00031093611757512996,0.039799369871616364,3.5451352555179656e-06,4.1396939195692539e-05,0.011401490708654559,6.4488185624878014e-11,1.1356776446234909e-05,0.0014785805251449347,0,0,0,0,0.99750345945358276,0.99750345945358276,3.0441389753832482e-05,0.015625,-0.234375,0.015625,0,1.6364239741051279e-07,0.029894908890128136
3,0.050000000000000003,1,0.10352,0.168512,0.0019199999999999998,0.0037439999999999999,0.001472,0.0023999999999999998,0.002336,0.08409599999999999,0.0025919999999999997,0.00496,0.81236476043276651,2.1023999999999998,40,0.00046401407057756078,0.059392087161540985,5.937385278011331e-06,6.5986299887299538e-05,0.012795700937734574,2.5611079923493207e-10,2.2632313148899829e-05,0.002946050837635994,0,0,0,0,1.4950097799301147,1.4950097799301147,4.5624077756656334e-05,0.015625,-0.234375,0.015625,0,6.499952860394842e-07,0.059580530971288681
4,0.066666666666666666,1,0.094432000000000002,0.16390399999999999,0.002016,0.0037759999999999998,0.001472,0.0024319999999999997,0.0019199999999999998,0.075616000000000003,0.0022079999999999999,0.0049919999999999999,0.80074550999661132,1.8904000000000001,40,0.00061548768646037331,0.078778892755508423,8.5506234485267599e-06,9.1514084488153458e-05,0.01389243625278809,7.0637695692710167e-10,3.758661881380398e-05,0.0048920311965048313,0,0,0,0,1.991687536239624,1.991687536239624,6.0781479987781495e-05,0.015625,-0.234375,0.015625,0,1.7929351088241674e-06,0.098953574895858765
5,0.083333333333333329,1,0.14851200000000001,0.163296,0.0018879999999999999,0.0036799999999999997,0.0052480000000000001,0.0023999999999999998,0.0027199999999999998,0.125056,0.002464,0.0050559999999999997,0.8420599008834303,3.1263999999999998,40,0.00076344514270469037,0.097960598766803741,1.130222502729006e-05,0.00011736806482076645,0.014804239879304458,1.5755038385023568e-09,5.6133837184043579e-05,0.0073053129017353058,0,0,0,0,2.4875380992889404,2.4956631399691105,7.6161594847690139e-05,0.015625,-0.23427326049950858,0.015625,0,3.9992733036342543e-06,0.14778816699981689
6,0.10000000000000001,1,0.15174399999999999,0.16383999999999999,0.0021119999999999997,0.003872,0.0057599999999999995,0.0024319999999999997,0.001696,0.128576,0.0024319999999999997,0.0048639999999999994,0.84732180514550826,3.2143999999999999,40,0.00091090216809139671,0.1169382631778717,1.4262479096362182e-05,0.00014483416453003883,0.015657531177301068,3.0777116410973804e-09,7.8456505671580613e-05,0.010205048136413097,0,0,0,0,2.9825630187988281,2.9996849168092012,9.1543118799108925e-05,0.015625,-0.23419662816173598,0.015625,0,7.8097746154526249e-06,0.20640268921852112
7,0.11666666666666667,1,0.094751999999999989,0.164128,0.0020479999999999999,0.003712,0.001472,0.0023679999999999999,0.0022719999999999997,0.075743999999999992,0.0022079999999999999,0.0049280000000000001,0.79939209726443772,1.8935999999999997,40,0.001056768022582107,0.13571052253246307,1.739842664596613e-05,0.00017340853810310364,0.016463808777497653,5.4730087128973537e-09,0.00010462321647605138,0.013597346842288971,0,0,0,0,3.4767634868621826,3.5016772206872702,0.00010686270815085663,0.015625,-0.23415266249343758,0.015625,0,1.3879226571589243e-05,0.27488318085670471
8,0.13333333333333333,1,0.094495999999999997,0.164128,0.0020479999999999999,0.0038399999999999997,0.001472,0.002464,0.0018239999999999999,0.075455999999999995,0.0024319999999999997,0.00496,0.79850998984083976,1.8863999999999996,40,0.0012059328158605827,0.1556437611579895,2.0631934376062918e-05,0.00020229816436767578,0.017108693042190308,9.0461025337162937e-09,0.00013450726771231579,0.017461374402046204,0,0,0,0,3.9701409339904785,3.9993798527866602,0.0001220513871089679,0.015625,-0.23414653552650319,0.015625,0,2.2920354240341112e-05,0.35275226831436157
9,0.14999999999999999,1,0.094783999999999993,0.16352,0.0020799999999999998,0.0037759999999999998,0.0014399999999999999,0.0024319999999999997,0.0017279999999999999,0.075839999999999991,0.0024319999999999997,0.0050559999999999997,0.80013504388926393,1.8959999999999997,40,0.001350338469267296,0.17438285052776337,2.3975986883157483e-05,0.00023187790066003799,0.017755538651110962,1.4146117166546901e-08,0.00016820295577989644,0.021809983998537064,0,0,0,0,4.4626970291137695,4.5056031942367554,0.00013750009748036973,0.015625,-0.23407741106411492,0.015625,0,3.5810891859000549e-05,0.44028556346893311
10,0.16666666666666666,1,0.09423999999999999,0.163744,0.002016,0.0038079999999999998,0.001472,0.0024319999999999997,0.001792,0.075551999999999994,0.0022719999999999997,0.0048960000000000002,0.80169779286927001,1.8887999999999998,40,0.0015040871843275438,0.19506597518920898,2.7501072986612962e-05,0.0002629552036523819,0.01828422798436934,2.1166554731166798e-08,0.00020575011412471585,0.026628680527210236,0,0,0,0,4.954432487487793,5.0051026791334152,0.00015274361203410081,0.015625,-0.23405863416488393,0.015625,0,5.3508963901549578e-05,0.53693068027496338
