step_index,simulation_time_s,emitter_enabled,solver_gpu_ms,diagnostics_gpu_ms,source_gpu_ms,velocity_advection_gpu_ms,buoyancy_gpu_ms,divergence_gpu_ms,pressure_clear_gpu_ms,pressure_solve_gpu_ms,pressure_gradient_gpu_ms,scalar_advection_gpu_ms,pressure_fraction,pressure_iteration_us,pressure_iterations,rms_divergence_before,max_abs_divergence_before,rms_divergence_after,max_abs_divergence_after,divergence_remaining_fraction,kinetic_energy,velocity_rms,velocity_max,nonfinite_divergence_before,nonfinite_divergence_after,nonfinite_velocity,density_min,density_max,density_sum,density_integral,density_centre_x,density_centre_y,density_centre_z,nonfinite_density_cells,enstrophy,max_vorticity
1,0.016666666666666666,1,0.101952,0.173536,0.0014399999999999999,0.0037759999999999998,0.001472,0.0072319999999999997,0.0033279999999999998,0.077311999999999992,0.002496,0.0048960000000000002,0.7583176396735718,1.9327999999999999,40,0.00015104218618198435,0.019330501556396484,1.4795588504243366e-06,1.8443315639160573e-05,0.009795666282542274,7.3236399583676004e-12,3.8271764940665074e-06,0.00049887050408869982,0,0,0,0,0.49916735291481018,0.49916735291481018,1.5233378690027166e-05,0.015625,-0.234375,0.015625,0,1.8726449724226768e-08,0.010167376138269901
2,0.033333333333333333,1,0.15907199999999999,0.16281599999999999,0.0020799999999999998,0.0038079999999999998,0.0014399999999999999,0.0071999999999999998,0.003424,0.11420799999999999,0.0069119999999999997,0.02,0.71796419231542952,2.8551999999999995,40,0.00029582890683597045,0.037797849625349045,3.8187323784740791e-06,4.4547312427312136e-05,0.012908584287172006,6.5511734925749465e-11,1.1446548381564589e-05,0.0014887155266478658,0,0,0,0,0.99750345945358276,0.99750345945358276,3.0441389753832482e-05,0.015625,-0.234375,0.015625,0,1.6881446640581999e-07,0.030564051121473312
3,0.050000000000000003,1,0.131968,0.163744,0.0021119999999999997,0.0040639999999999999,0.0088959999999999994,0.014048,0.0030720000000000001,0.092544000000000001,0.0021440000000000001,0.0050879999999999996,0.70126091173617844,2.3136000000000001,40,0.00043430393418517586,0.055404972285032272,6.5847443511899517e-06,7.2947703301906586e-05,0.015161604196710751,2.6122248808491122e-10,2.2857055282118528e-05,0.0029681595042347908,0,0,0,0,1.4950097799301147,1.4950097799301147,4.5624077756656334e-05,0.015625,-0.234375,0.015625,0,6.76829699841619e-07,0.061265163123607635
4,0.066666666666666666,1,0.10396799999999999,0.16447999999999999,0.0019840000000000001,0.0038079999999999998,0.0014399999999999999,0.0071999999999999998,0.0027199999999999998,0.07907199999999999,0.0028159999999999999,0.0049280000000000001,0.76054170514004305,1.9767999999999997,40,0.00056679994508583369,0.072157286107540131,9.7073624318700843e-06,0.00010347645729780197,0.017126611454417209,7.2392009053956485e-10,3.8050495148935047e-05,0.004933968186378479,0,0,0,0,1.991687536239624,1.991687536239624,6.0781479987781495e-05,0.015625,-0.234375,0.015625,0,1.8851483218895737e-06,0.10234683752059937
5,0.083333333333333329,1,0.112832,0.16367999999999999,0.0020479999999999999,0.0038079999999999998,0.0015039999999999999,0.0071040000000000001,0.0034879999999999998,0.087263999999999994,0.0027199999999999998,0.0048960000000000002,0.77339761769710713,2.1816,40,0.00069169626553161904,0.08806222677230835,1.3111138962154433e-05,0.00013541150838136673,0.018955052405953885,1.6231211930062273e-09,5.6975805268661664e-05,0.0073766713030636311,0,0,0,0,2.4875380992889404,2.4956631399691105,7.6161594847690139e-05,0.015625,-0.23427326049950858,0.015625,0,4.2475653572182637e-06,0.15376205742359161
6,0.10000000000000001,1,0.10092799999999999,0.16838400000000001,0.002016,0.0038399999999999997,0.001472,0.0072319999999999997,0.0033599999999999997,0.075871999999999995,0.0021440000000000001,0.0049919999999999999,0.75174381737476226,1.8968,40,0.00081190257226117874,0.10302205383777618,1.6854308463893641e-05,0.00016919337213039398,0.020759028287044057,3.1884974660556509e-09,7.9856088885640414e-05,0.010317925363779068,0,0,0,0,2.9825630187988281,2.9996849168092012,9.1543118799108925e-05,0.015625,-0.23419662816173598,0.015625,0,8.38064806885086e-06,0.21602892875671387
7,0.11666666666666667,1,0.100384,0.163936,0.0020479999999999999,0.0037759999999999998,0.0015039999999999999,0.0072639999999999996,0.0030079999999999998,0.075423999999999991,0.002464,0.0048960000000000002,0.75135479757730306,1.8855999999999997,40,0.00092696327973141267,0.11693018674850464,2.0830565559224228e-05,0.00020287791267037392,0.02247183466130382,5.7039089007560051e-09,0.0001068073864557691,0.013767845928668976,0,0,0,0,3.4767634868621826,3.5016772206872702,0.00010686270815085663,0.015625,-0.23415266249343758,0.015625,0,1.5051680748001672e-05,0.28944164514541626
8,0.13333333333333333,1,0.100768,0.163936,0.0020479999999999999,0.0042880000000000001,0.0014399999999999999,0.0071040000000000001,0.002944,0.075839999999999991,0.002176,0.0049280000000000001,0.75261987932677032,1.8959999999999997,40,0.001041199458023216,0.13110524415969849,2.4822311200095184e-05,0.00023878272622823715,0.023840111526010527,9.4873273681628234e-09,0.00013774851990611605,0.017710844054818153,0,0,0,0,3.9701409339904785,3.9993798527866602,0.0001220513871089679,0.015625,-0.23414653552650319,0.015625,0,2.5124441890511662e-05,0.37370660901069641
9,0.14999999999999999,1,0.100576,0.16399999999999998,0.0020479999999999999,0.0037759999999999998,0.001472,0.0072639999999999996,0.0032320000000000001,0.075583999999999998,0.0023040000000000001,0.0048960000000000002,0.751511294941139,1.8896000000000002,40,0.0011564981692382945,0.14489012956619263,2.8759444739740004e-05,0.00027398299425840378,0.024867695863869686,1.4931574199295028e-08,0.00017280957264743772,0.022162783890962601,0,0,0,0,4.4626970291137695,4.5056031942367554,0.00013750009748036973,0.015625,-0.23407741106411492,0.015625,0,3.9671838749200106e-05,0.46931928396224976
10,0.16666666666666666,1,0.10083199999999999,0.16352,0.0020479999999999999,0.0038079999999999998,0.001472,0.0072319999999999997,0.0033599999999999997,0.075616000000000003,0.0023679999999999999,0.0049280000000000001,0.74992066010790237,1.8904000000000001,40,0.0012605608528590963,0.15566146373748779,3.2612269606017245e-05,0.000308208167552948,0.025871237816126755,2.2499731855418759e-08,0.00021213077030651992,0.027125108987092972,0,0,0,0,4.954432487487793,5.0051040984690189,0.00015274365534878598,0.015625,-0.23405862539279698,0.015625,0,5.9938400227110833e-05,0.57589888572692871
11,0.18333333333333332,1,0.10063999999999999,0.16399999999999998,0.0021440000000000001,0.004032,0.0015039999999999999,0.0072319999999999997,0.0030079999999999998,0.075583999999999998,0.0022399999999999998,0.0048960000000000002,0.75103338632750405,1.8896000000000002,40,0.0013504230368444278,0.16478729248046875,3.6294030323196931e-05,0.00033967383205890656,0.026876045011795881,3.2674147831812661e-08,0.00025563312708572282,0.03258843719959259,0,0,0,0,5.4453492164611816,5.5127550140023232,0.00016823593182380137,0.015625,-0.23399289864272757,0.015625,0,8.7265500042121857e-05,0.69354712963104248
12,0.20000000000000001,1,0.098687999999999998,0.163744,0.0019199999999999998,0.0038079999999999998,0.001472,0.007136,0.0015679999999999999,0.075679999999999997,0.0022079999999999999,0.0048960000000000002,0.76686121919584949,1.8919999999999999,40,0.0014453812871070043,0.17350506782531738,4.0081760959943087e-05,0.00037252902984619141,0.027730925616290866,4.6157900612797675e-08,0.0003038351546901631,0.038606368005275726,0,0,0,0,5.9354486465454102,6.0091249421238899,0.00018338393988415191,0.015625,-0.23399185199442471,0.015625,0,0.00012356715160422027,0.82334470748901367
